_time,_value
2026-08-06T04:00:00Z,1
2026-08-06T04:00:00.16Z,0
2026-08-06T04:00:11.768Z,1
2026-08-06T04:00:20Z,-15
2026-08-06T04:00:20.144Z,-15
2026-08-06T04:00:21.032Z,-15
2026-08-06T04:01:00Z,1
2026-08-06T04:01:00.142Z,0
2026-08-06T04:01:01.069Z,1
2026-08-06T04:01:20Z,-15
2026-08-06T04:01:20.227Z,-15
2026-08-06T04:01:21.046Z,-15
2026-08-06T04:02:00Z,1
2026-08-06T04:02:01.284Z,0
2026-08-06T04:02:03.244Z,1
2026-08-06T04:02:20Z,-15
2026-08-06T04:02:20.144Z,-15
2026-08-06T04:02:21.023Z,-15
2026-08-06T04:03:00Z,1
2026-08-06T04:03:01.643Z,0
2026-08-06T04:03:01.802Z,1
2026-08-06T04:03:20Z,-15
2026-08-06T04:03:20.165Z,-15
2026-08-06T04:03:21.123Z,-15
2026-08-06T04:04:00Z,1
2026-08-06T04:04:02.487Z,0
2026-08-06T04:04:02.669Z,1
2026-08-06T04:04:20Z,-15
2026-08-06T04:04:23.096Z,-15
2026-08-06T04:04:23.244Z,-15
2026-08-06T04:05:00Z,1
2026-08-06T04:05:08.276Z,0
2026-08-06T04:05:08.55Z,1
2026-08-06T04:05:20Z,-15
2026-08-06T04:05:22.405Z,-15
2026-08-06T04:05:23.31Z,-15
2026-08-06T04:06:00Z,1
2026-08-06T04:06:00.161Z,0
2026-08-06T04:06:00.839Z,1
2026-08-06T04:06:20Z,-15
2026-08-06T04:06:21.034Z,-15
2026-08-06T04:06:21.849Z,-15
2026-08-06T04:07:00Z,1
2026-08-06T04:07:02.587Z,0
2026-08-06T04:07:03.102Z,1
2026-08-06T04:07:20Z,-15
2026-08-06T04:07:20.127Z,-15
2026-08-06T04:07:20.962Z,-15
2026-08-06T04:08:00Z,1
2026-08-06T04:08:00.127Z,0
2026-08-06T04:08:01.032Z,1
2026-08-06T04:08:20Z,-15
2026-08-06T04:08:20.138Z,-15
2026-08-06T04:08:21.069Z,-15
2026-08-06T04:09:00Z,1
2026-08-06T04:09:02.985Z,0
2026-08-06T04:09:03.454Z,1
2026-08-06T04:09:20Z,-15
2026-08-06T04:09:20.138Z,-15
2026-08-06T04:09:20.779Z,-15
2026-08-06T04:10:00Z,1
2026-08-06T04:10:00.18Z,0
2026-08-06T04:10:01.053Z,1
2026-08-06T04:10:20Z,-15
2026-08-06T04:10:20.187Z,-15
2026-08-06T04:10:20.911Z,-15
2026-08-06T04:11:00Z,1
2026-08-06T04:11:02.418Z,0
2026-08-06T04:11:02.95Z,1
2026-08-06T04:11:20Z,-15
2026-08-06T04:11:20.185Z,-15
2026-08-06T04:11:21.19Z,-15
2026-08-06T04:12:00Z,1
2026-08-06T04:12:00.163Z,0
2026-08-06T04:12:00.879Z,1
2026-08-06T04:12:20Z,-15
2026-08-06T04:12:20.15Z,-15
2026-08-06T04:12:21.007Z,-15
2026-08-06T04:13:00Z,1
2026-08-06T04:13:01.05Z,0
2026-08-06T04:13:04.07Z,1
2026-08-06T04:13:20Z,-15
2026-08-06T04:13:20.158Z,-15
2026-08-06T04:13:21.114Z,-15
2026-08-06T04:14:00Z,1
2026-08-06T04:14:00.164Z,0
2026-08-06T04:14:00.939Z,1
2026-08-06T04:14:20Z,-15
2026-08-06T04:14:20.169Z,-15
2026-08-06T04:14:21.033Z,-15
2026-08-06T04:15:00Z,1
2026-08-06T04:15:00.182Z,0
2026-08-06T04:15:09.071Z,1
2026-08-06T04:15:20Z,-15
2026-08-06T04:15:24.075Z,-15
2026-08-06T04:15:24.326Z,-15
2026-08-06T04:16:00Z,1
2026-08-06T04:16:00.172Z,0
2026-08-06T04:16:01.007Z,1
2026-08-06T04:16:20Z,-15
2026-08-06T04:16:20.237Z,-15
2026-08-06T04:16:21.124Z,-15
2026-08-06T04:17:00Z,1
2026-08-06T04:17:00.846Z,0
2026-08-06T04:17:01.28Z,1
2026-08-06T04:17:20Z,-15
2026-08-06T04:17:21.318Z,-15
2026-08-06T04:17:21.501Z,-15
2026-08-06T04:18:00Z,1
2026-08-06T04:18:02.56Z,0
2026-08-06T04:18:03.209Z,1
2026-08-06T04:18:20Z,-15
2026-08-06T04:18:20.615Z,-15
2026-08-06T04:18:21.268Z,-15
2026-08-06T04:19:00Z,1
2026-08-06T04:19:00.18Z,0
2026-08-06T04:19:00.861Z,1
2026-08-06T04:19:20Z,-15
2026-08-06T04:19:20.183Z,-15
2026-08-06T04:19:21.037Z,-15
2026-08-06T04:20:00Z,1
2026-08-06T04:20:11.13Z,0
2026-08-06T04:20:11.377Z,1
2026-08-06T04:20:20Z,-15
2026-08-06T04:20:20.186Z,-15
2026-08-06T04:20:20.838Z,-15
2026-08-06T04:21:00Z,1
2026-08-06T04:21:01.948Z,0
2026-08-06T04:21:02.15Z,1
2026-08-06T04:21:20Z,-15
2026-08-06T04:21:20.233Z,-15
2026-08-06T04:21:21.11Z,-15
2026-08-06T04:22:00Z,1
2026-08-06T04:22:03.303Z,0
2026-08-06T04:22:03.953Z,1
2026-08-06T04:22:20Z,-15
2026-08-06T04:22:20.194Z,-15
2026-08-06T04:22:21.168Z,-15
2026-08-06T04:23:00Z,1
2026-08-06T04:23:02.727Z,0
2026-08-06T04:23:04.014Z,1
2026-08-06T04:23:20Z,-15
2026-08-06T04:23:22.619Z,-15
2026-08-06T04:23:22.787Z,-15
2026-08-06T04:24:00Z,1
2026-08-06T04:24:02.415Z,0
2026-08-06T04:24:02.964Z,1
2026-08-06T04:24:20Z,-15
2026-08-06T04:24:20.528Z,-15
2026-08-06T04:24:21.167Z,-15
2026-08-06T04:25:00Z,1
2026-08-06T04:25:00.484Z,0
2026-08-06T04:25:01.304Z,1
2026-08-06T04:25:20Z,-15
2026-08-06T04:25:20.424Z,-15
2026-08-06T04:25:21.302Z,-15
2026-08-06T04:26:00Z,1
2026-08-06T04:26:02.49Z,0
2026-08-06T04:26:03.115Z,1
2026-08-06T04:26:20Z,-15
2026-08-06T04:26:20.425Z,-15
2026-08-06T04:26:21.277Z,-15
2026-08-06T04:27:00Z,1
2026-08-06T04:27:02.337Z,0
2026-08-06T04:27:02.926Z,1
2026-08-06T04:27:20Z,-15
2026-08-06T04:27:20.426Z,-15
2026-08-06T04:27:21.069Z,-15
2026-08-06T04:28:00Z,1
2026-08-06T04:28:02.617Z,0
2026-08-06T04:28:03.301Z,1
2026-08-06T04:28:20Z,-15
2026-08-06T04:28:20.427Z,-15
2026-08-06T04:28:21.297Z,-15
2026-08-06T04:29:00Z,1
2026-08-06T04:29:02.471Z,0
2026-08-06T04:29:02.87Z,1
2026-08-06T04:29:20Z,-15
2026-08-06T04:29:20.437Z,-15
2026-08-06T04:29:21.337Z,-15
2026-08-06T04:30:00Z,1
2026-08-06T04:30:12.667Z,0
2026-08-06T04:30:12.838Z,1
2026-08-06T04:30:20Z,-15
2026-08-06T04:30:20.436Z,-15
2026-08-06T04:30:21.278Z,-15
2026-08-06T04:31:00Z,1
2026-08-06T04:31:02.313Z,0
2026-08-06T04:31:03.035Z,1
2026-08-06T04:31:20Z,-15
2026-08-06T04:31:21.019Z,-15
2026-08-06T04:31:21.554Z,-15
2026-08-06T04:32:00Z,1
2026-08-06T04:32:02.572Z,0
2026-08-06T04:32:03.437Z,1
2026-08-06T04:32:20Z,-15
2026-08-06T04:32:21.407Z,-15
2026-08-06T04:32:21.717Z,-15
2026-08-06T04:33:00Z,1
2026-08-06T04:33:00.453Z,0
2026-08-06T04:33:03.646Z,1
2026-08-06T04:33:20Z,-15
2026-08-06T04:33:20.525Z,-15
2026-08-06T04:33:21.434Z,-15
2026-08-06T04:34:00Z,1
2026-08-06T04:34:02.524Z,0
2026-08-06T04:34:03.239Z,1
2026-08-06T04:34:20Z,-15
2026-08-06T04:34:20.481Z,-15
2026-08-06T04:34:21.154Z,-15
2026-08-06T04:35:00Z,1
2026-08-06T04:35:11.345Z,0
2026-08-06T04:35:11.517Z,1
2026-08-06T04:35:20Z,-15
2026-08-06T04:35:21.23Z,-15
2026-08-06T04:35:21.583Z,-15
2026-08-06T04:36:00Z,1
2026-08-06T04:36:02.909Z,0
2026-08-06T04:36:03.541Z,1
2026-08-06T04:36:20Z,-15
2026-08-06T04:36:20.466Z,-15
2026-08-06T04:36:21.351Z,-15
2026-08-06T04:37:00Z,1
2026-08-06T04:37:04.25Z,0
2026-08-06T04:37:04.871Z,1
2026-08-06T04:37:20Z,-15
2026-08-06T04:37:20.462Z,-15
2026-08-06T04:37:21.107Z,-15
2026-08-06T04:38:00Z,1
2026-08-06T04:38:02.736Z,0
2026-08-06T04:38:03.236Z,1
2026-08-06T04:38:20Z,-15
2026-08-06T04:38:22.481Z,-15
2026-08-06T04:38:22.679Z,-15
2026-08-06T04:39:00Z,1
2026-08-06T04:39:02.648Z,0
2026-08-06T04:39:03.15Z,1
2026-08-06T04:39:20Z,-15
2026-08-06T04:39:20.598Z,-15
2026-08-06T04:39:21.68Z,-15
2026-08-06T04:40:00Z,1
2026-08-06T04:40:10.273Z,0
2026-08-06T04:40:10.648Z,1
2026-08-06T04:40:20Z,-15
2026-08-06T04:40:20.651Z,-15
2026-08-06T04:40:21.508Z,-15
2026-08-06T04:41:00Z,1
2026-08-06T04:41:02.657Z,0
2026-08-06T04:41:03.384Z,1
2026-08-06T04:41:20Z,-15
2026-08-06T04:41:22.837Z,-15
2026-08-06T04:41:23.158Z,-15
2026-08-06T04:42:00Z,1
2026-08-06T04:42:02.598Z,0
2026-08-06T04:42:03.194Z,1
2026-08-06T04:42:20Z,-15
2026-08-06T04:42:20.639Z,-15
2026-08-06T04:42:21.375Z,-15
2026-08-06T04:43:00Z,1
2026-08-06T04:43:02.383Z,0
2026-08-06T04:43:03.275Z,1
2026-08-06T04:43:20Z,-15
2026-08-06T04:43:20.669Z,-15
2026-08-06T04:43:21.55Z,-15
2026-08-06T04:44:00Z,1
2026-08-06T04:44:02.502Z,0
2026-08-06T04:44:03.06Z,1
2026-08-06T04:44:20Z,-15
2026-08-06T04:44:20.676Z,-15
2026-08-06T04:44:21.525Z,-15
2026-08-06T04:45:00Z,1
2026-08-06T04:45:08.887Z,0
2026-08-06T04:45:09.135Z,1
2026-08-06T04:45:20Z,-15
2026-08-06T04:45:20.636Z,-15
2026-08-06T04:45:21.58Z,-15
2026-08-06T04:46:00Z,1
2026-08-06T04:46:02.893Z,0
2026-08-06T04:46:03.519Z,1
2026-08-06T04:46:20Z,-15
2026-08-06T04:46:21.158Z,-15
2026-08-06T04:46:22.057Z,-15
2026-08-06T04:47:00Z,1
2026-08-06T04:47:03.543Z,0
2026-08-06T04:47:04.036Z,1
2026-08-06T04:47:20Z,-15
2026-08-06T04:47:20.651Z,-15
2026-08-06T04:47:21.34Z,-15
2026-08-06T04:48:00Z,1
2026-08-06T04:48:02.67Z,0
2026-08-06T04:48:03.445Z,1
2026-08-06T04:48:20Z,-15
2026-08-06T04:48:21.04Z,-15
2026-08-06T04:48:21.692Z,-15
2026-08-06T04:49:00Z,1
2026-08-06T04:49:02.327Z,0
2026-08-06T04:49:03.087Z,1
2026-08-06T04:49:20Z,-15
2026-08-06T04:49:20.98Z,-15
2026-08-06T04:49:21.851Z,-15
2026-08-06T04:50:00Z,1
2026-08-06T04:50:11.696Z,0
2026-08-06T04:50:11.87Z,1
2026-08-06T04:50:20Z,-15
2026-08-06T04:50:20.664Z,-15
2026-08-06T04:50:21.523Z,-15
2026-08-06T04:51:00Z,1
2026-08-06T04:51:02.829Z,0
2026-08-06T04:51:03.497Z,1
2026-08-06T04:51:20Z,-15
2026-08-06T04:51:20.728Z,-15
2026-08-06T04:51:21.556Z,-15
2026-08-06T04:52:00Z,1
2026-08-06T04:52:02.581Z,0
2026-08-06T04:52:03.106Z,1
2026-08-06T04:52:20Z,-15
2026-08-06T04:52:20.678Z,-15
2026-08-06T04:52:21.487Z,-15
2026-08-06T04:53:00Z,1
2026-08-06T04:53:02.805Z,0
2026-08-06T04:53:03.372Z,1
2026-08-06T04:53:20Z,-15
2026-08-06T04:53:20.684Z,-15
2026-08-06T04:53:21.663Z,-15
2026-08-06T04:54:00Z,1
2026-08-06T04:54:02.81Z,0
2026-08-06T04:54:03.593Z,1
2026-08-06T04:54:20Z,-15
2026-08-06T04:54:21.59Z,-15
2026-08-06T04:54:21.793Z,-15
2026-08-06T04:55:00Z,1
2026-08-06T04:55:10.698Z,0
2026-08-06T04:55:10.931Z,1
2026-08-06T04:55:20Z,-15
2026-08-06T04:55:20.69Z,-15
2026-08-06T04:55:21.497Z,-15
2026-08-06T04:56:00Z,1
2026-08-06T04:56:02.754Z,0
2026-08-06T04:56:03.402Z,1
2026-08-06T04:56:20Z,-15
2026-08-06T04:56:22.291Z,-15
2026-08-06T04:56:22.456Z,-15
2026-08-06T04:57:00Z,1
2026-08-06T04:57:02.456Z,0
2026-08-06T04:57:03.19Z,1
2026-08-06T04:57:20Z,-15
2026-08-06T04:57:20.699Z,-15
2026-08-06T04:57:21.38Z,-15
2026-08-06T04:58:00Z,1
2026-08-06T04:58:03.658Z,0
2026-08-06T04:58:04.528Z,1
2026-08-06T04:58:20Z,-15
2026-08-06T04:58:20.704Z,-15
2026-08-06T04:58:21.543Z,-15
2026-08-06T04:59:00Z,1
2026-08-06T04:59:02.435Z,0
2026-08-06T04:59:03.128Z,1
2026-08-06T04:59:20Z,-15
2026-08-06T04:59:21.186Z,-15
2026-08-06T04:59:22.212Z,-15
2026-08-06T05:00:00Z,1
2026-08-06T05:00:11.086Z,0
2026-08-06T05:00:11.282Z,1
2026-08-06T05:00:20Z,-15
2026-08-06T05:00:21.065Z,-15
2026-08-06T05:00:22.011Z,-15
2026-08-06T05:01:00Z,1
2026-08-06T05:01:02.621Z,0
2026-08-06T05:01:03.301Z,1
2026-08-06T05:01:20Z,-15
2026-08-06T05:01:20.731Z,-15
2026-08-06T05:01:21.641Z,-15
2026-08-06T05:02:00Z,1
2026-08-06T05:02:02.859Z,0
2026-08-06T05:02:03.425Z,1
2026-08-06T05:02:20Z,-15
