_time,_value
2026-08-03T08:59:09Z,0
2026-08-03T08:59:11Z,1
2026-08-03T08:59:12.436Z,0
2026-08-03T08:59:12.486Z,0
2026-08-03T08:59:13Z,2
2026-08-03T08:59:13.382Z,1
2026-08-03T08:59:13.607Z,2
2026-08-03T08:59:15Z,3
2026-08-03T08:59:15.279Z,3
2026-08-03T08:59:16Z,4
2026-08-03T08:59:18Z,5
2026-08-03T08:59:18.607Z,4
2026-08-03T08:59:19.097Z,5
2026-08-03T08:59:20Z,6
2026-08-03T08:59:20.574Z,6
2026-08-03T08:59:22Z,7
2026-08-03T08:59:22.409Z,7
2026-08-03T08:59:24Z,8
2026-08-03T08:59:24.187Z,8
2026-08-03T08:59:25Z,9
2026-08-03T08:59:26.304Z,9
2026-08-03T08:59:27Z,10
2026-08-03T08:59:27.79Z,10
2026-08-03T08:59:29Z,11
2026-08-03T08:59:30.022Z,11
2026-08-03T08:59:31Z,12
2026-08-03T08:59:33Z,13
2026-08-03T08:59:33.768Z,12
2026-08-03T08:59:34Z,14
2026-08-03T08:59:34.16Z,13
2026-08-03T08:59:35.075Z,14
2026-08-03T08:59:36Z,15
2026-08-03T08:59:36.864Z,15
2026-08-03T08:59:38Z,16
2026-08-03T08:59:38.673Z,16
2026-08-03T08:59:40Z,17
2026-08-03T08:59:41.022Z,17
2026-08-03T08:59:42Z,18
2026-08-03T08:59:42.262Z,18
2026-08-03T08:59:43Z,19
2026-08-03T08:59:44.082Z,19
2026-08-03T08:59:45Z,20
2026-08-03T08:59:46.18Z,20
2026-08-03T08:59:47Z,21
2026-08-03T08:59:48.846Z,21
2026-08-03T08:59:49Z,22
2026-08-03T08:59:49.475Z,22
2026-08-03T08:59:51Z,23
2026-08-03T08:59:51.281Z,23
2026-08-03T08:59:52Z,24
2026-08-03T08:59:53.073Z,24
2026-08-03T08:59:54Z,25
2026-08-03T08:59:54.927Z,25
2026-08-03T08:59:56Z,26
2026-08-03T08:59:56.747Z,26
2026-08-03T08:59:58Z,27
2026-08-03T08:59:58.475Z,27
2026-08-03T09:00:00Z,28
2026-08-03T09:00:00.292Z,28
2026-08-03T09:00:01Z,29
2026-08-03T09:00:03Z,30
2026-08-03T09:00:05Z,31
2026-08-03T09:00:07Z,32
2026-08-03T09:00:09Z,33
2026-08-03T09:00:11Z,34
2026-08-03T09:00:11.406Z,29
2026-08-03T09:00:11.751Z,30
2026-08-03T09:00:12Z,35
2026-08-03T09:00:12.077Z,31
2026-08-03T09:00:12.515Z,32
2026-08-03T09:00:12.761Z,33
2026-08-03T09:00:13.482Z,34
2026-08-03T09:00:14Z,36
2026-08-03T09:00:14.044Z,35
2026-08-03T09:00:15.134Z,36
2026-08-03T09:00:16Z,37
2026-08-03T09:00:16.487Z,37
2026-08-03T09:00:18Z,38
2026-08-03T09:00:19.125Z,38
2026-08-03T09:00:20Z,39
2026-08-03T09:00:20.108Z,39
2026-08-03T09:00:21Z,40
2026-08-03T09:00:21.883Z,40
2026-08-03T09:00:23Z,41
2026-08-03T09:00:25Z,42
2026-08-03T09:00:25.088Z,41
2026-08-03T09:00:26.586Z,42
2026-08-03T09:00:27Z,43
2026-08-03T09:00:27.429Z,43
2026-08-03T09:00:29Z,44
2026-08-03T09:00:29.213Z,44
2026-08-03T09:00:30Z,45
2026-08-03T09:00:31.491Z,45
2026-08-03T09:00:32Z,46
2026-08-03T09:00:34Z,47
2026-08-03T09:00:34.246Z,46
2026-08-03T09:00:35.23Z,47
2026-08-03T09:00:36Z,48
2026-08-03T09:00:36.384Z,48
2026-08-03T09:00:38Z,49
2026-08-03T09:00:38.274Z,49
2026-08-03T09:00:39Z,50
2026-08-03T09:00:40.203Z,50
2026-08-03T09:00:41Z,51
2026-08-03T09:00:41.792Z,51
2026-08-03T09:00:43Z,52
2026-08-03T09:00:43.623Z,52
2026-08-03T09:00:45Z,53
2026-08-03T09:00:45.404Z,53
2026-08-03T09:00:47Z,54
2026-08-03T09:00:48Z,55
2026-08-03T09:00:49.042Z,54
2026-08-03T09:00:49.323Z,55
2026-08-03T09:00:50Z,56
2026-08-03T09:00:51.55Z,56
2026-08-03T09:00:52Z,57
2026-08-03T09:00:52.651Z,57
2026-08-03T09:00:54Z,58
2026-08-03T09:00:54.386Z,58
2026-08-03T09:00:56Z,59
2026-08-03T09:00:56.428Z,59
2026-08-03T09:00:57Z,60
2026-08-03T09:00:57.995Z,60
2026-08-03T09:00:59Z,61
2026-08-03T09:00:59.811Z,61
2026-08-03T09:01:01Z,62
2026-08-03T09:01:03Z,63
2026-08-03T09:01:03.701Z,62
2026-08-03T09:01:05Z,64
2026-08-03T09:01:06Z,65
2026-08-03T09:01:06.29Z,63
2026-08-03T09:01:06.562Z,64
2026-08-03T09:01:07.074Z,65
2026-08-03T09:01:08Z,66
2026-08-03T09:01:08.82Z,66
2026-08-03T09:01:10Z,67
2026-08-03T09:01:10.668Z,67
2026-08-03T09:01:12Z,68
2026-08-03T09:01:12.776Z,68
2026-08-03T09:01:14Z,69
2026-08-03T09:01:14.234Z,69
2026-08-03T09:01:15Z,70
2026-08-03T09:01:16.413Z,70
2026-08-03T09:01:17Z,71
2026-08-03T09:01:19Z,72
2026-08-03T09:01:19.727Z,71
2026-08-03T09:01:19.979Z,72
2026-08-03T09:01:21Z,73
2026-08-03T09:01:21.442Z,73
2026-08-03T09:01:23Z,74
2026-08-03T09:01:23.225Z,74
2026-08-03T09:01:24Z,75
2026-08-03T09:01:25.019Z,75
2026-08-03T09:01:26Z,76
2026-08-03T09:01:26.826Z,76
2026-08-03T09:01:28Z,77
2026-08-03T09:01:28.695Z,77
2026-08-03T09:01:30Z,78
2026-08-03T09:01:30.422Z,78
2026-08-03T09:01:32Z,79
2026-08-03T09:01:33Z,80
2026-08-03T09:01:34.473Z,79
2026-08-03T09:01:34.91Z,80
2026-08-03T09:01:35Z,81
2026-08-03T09:01:35.85Z,81
2026-08-03T09:01:37Z,82
2026-08-03T09:01:37.654Z,82
2026-08-03T09:01:39Z,83
2026-08-03T09:01:41Z,84
2026-08-03T09:01:41.684Z,83
2026-08-03T09:01:42Z,85
2026-08-03T09:01:43.196Z,84
2026-08-03T09:01:43.409Z,85
2026-08-03T09:01:44Z,86
2026-08-03T09:01:44.884Z,86
2026-08-03T09:01:46Z,87
2026-08-03T09:01:46.665Z,87
2026-08-03T09:01:48Z,88
2026-08-03T09:01:49.402Z,88
2026-08-03T09:01:50Z,89
2026-08-03T09:01:50.829Z,89
2026-08-03T09:01:51Z,90
2026-08-03T09:01:52.109Z,90
2026-08-03T09:01:53Z,91
2026-08-03T09:01:53.935Z,91
2026-08-03T09:01:55Z,92
2026-08-03T09:01:56.617Z,92
2026-08-03T09:01:57Z,93
2026-08-03T09:01:57.693Z,93
2026-08-03T09:01:59Z,94
2026-08-03T09:01:59.291Z,94
2026-08-03T09:02:00Z,95
2026-08-03T09:02:02Z,96
2026-08-03T09:02:02.729Z,95
2026-08-03T09:02:04Z,97
2026-08-03T09:02:05.115Z,96
2026-08-03T09:02:05.288Z,97
2026-08-03T09:02:06Z,98
2026-08-03T09:02:06.805Z,98
2026-08-03T09:02:08Z,99
2026-08-03T09:02:08.306Z,99
2026-08-03T09:02:09Z,100
2026-08-03T09:02:11.42Z,100
2026-08-03T09:02:11.461Z,100
2026-08-03T09:16:00Z,100
2026-08-03T09:16:01Z,100
2026-08-03T09:16:02.911Z,100
2026-08-03T09:16:03Z,99
2026-08-03T09:16:05Z,98
2026-08-03T09:16:05.784Z,100
2026-08-03T09:16:05.817Z,100
2026-08-03T09:16:06.183Z,99
2026-08-03T09:16:06.356Z,98
2026-08-03T09:16:07Z,97
2026-08-03T09:16:07.491Z,97
2026-08-03T09:16:09Z,96
2026-08-03T09:16:09.208Z,96
2026-08-03T09:16:10Z,95
2026-08-03T09:16:12Z,94
2026-08-03T09:16:12.121Z,95
2026-08-03T09:16:12.991Z,94
2026-08-03T09:16:14Z,93
2026-08-03T09:16:14.624Z,93
2026-08-03T09:16:16Z,92
2026-08-03T09:16:16.429Z,92
2026-08-03T09:16:18Z,91
2026-08-03T09:16:19.576Z,91
2026-08-03T09:16:20Z,90
2026-08-03T09:16:20.044Z,90
2026-08-03T09:16:21Z,89
2026-08-03T09:16:21.851Z,89
2026-08-03T09:16:23Z,88
2026-08-03T09:16:23.655Z,88
2026-08-03T09:16:25Z,87
2026-08-03T09:16:25.462Z,87
2026-08-03T09:16:27Z,86
2026-08-03T09:16:27.277Z,86
2026-08-03T09:16:29Z,85
2026-08-03T09:16:29.076Z,85
2026-08-03T09:16:30Z,84
2026-08-03T09:16:30.886Z,84
2026-08-03T09:16:32Z,83
2026-08-03T09:16:34Z,82
2026-08-03T09:16:35.697Z,83
2026-08-03T09:16:36Z,81
2026-08-03T09:16:36.112Z,82
2026-08-03T09:16:36.309Z,81
2026-08-03T09:16:38Z,80
