_time,_value
2026-08-07T16:00:00Z,10
2026-08-07T16:00:12.031Z,10
2026-08-07T16:00:12.088Z,10
2026-08-07T16:14:08Z,0
2026-08-07T16:14:11.187Z,0
2026-08-07T16:14:11.255Z,0
2026-08-07T16:29:27Z,10
2026-08-07T16:29:30.244Z,10
2026-08-07T16:29:30.307Z,10
2026-08-07T20:00:00Z,0
2026-08-07T20:00:02.555Z,0
2026-08-07T20:00:02.64Z,0
2026-08-13T16:00:00Z,5
2026-08-13T16:00:11.635Z,5
2026-08-13T16:00:11.673Z,5
2026-08-13T18:00:00Z,0
2026-08-13T18:00:11.877Z,0
2026-08-13T18:00:11.908Z,0
2026-08-13T19:00:00Z,8
2026-08-13T19:00:01.439Z,8
2026-08-13T19:00:01.512Z,8
2026-08-13T21:00:00Z,0
2026-08-13T21:00:03.953Z,0
2026-08-13T21:00:04.049Z,0
2026-08-13T22:00:00Z,2
2026-08-13T22:00:01.635Z,2
2026-08-13T22:00:01.704Z,2
2026-08-14T00:00:00Z,0
2026-08-14T00:00:02.077Z,0
2026-08-14T00:00:02.149Z,0
2026-08-14T01:00:00Z,10
2026-08-14T01:00:01.407Z,10
2026-08-14T01:00:01.481Z,10
2026-08-14T03:00:00Z,0
2026-08-14T03:00:12.672Z,0
2026-08-14T03:00:12.702Z,0
2026-08-14T07:00:00Z,10
2026-08-14T07:00:02.98Z,10
2026-08-14T07:00:03.066Z,10
2026-08-14T09:00:00Z,0
2026-08-14T09:00:02.689Z,0
2026-08-14T09:00:02.75Z,0
2026-08-14T10:00:00Z,8
2026-08-14T10:00:01.595Z,8
2026-08-14T10:00:01.672Z,8
2026-08-14T10:40:55Z,0
2026-08-14T10:40:59.45Z,0
2026-08-14T10:40:59.529Z,0
2026-08-14T10:55:07Z,8
2026-08-14T10:55:15.561Z,8
2026-08-14T10:55:15.593Z,8
2026-08-14T11:24:08Z,0
2026-08-14T11:24:11.876Z,0
2026-08-14T11:24:11.945Z,0
2026-08-14T11:37:32Z,8
2026-08-14T11:37:36.958Z,8
2026-08-14T11:37:37.039Z,8
2026-08-14T12:00:00Z,0
2026-08-14T12:00:02.512Z,0
2026-08-14T12:00:02.582Z,0
2026-08-14T13:11:00Z,5
2026-08-14T13:11:03.949Z,5
2026-08-14T13:11:04.034Z,5
2026-08-14T13:36:37Z,0
2026-08-14T13:36:40.583Z,0
2026-08-14T13:36:40.655Z,0
2026-08-14T13:54:07Z,5
2026-08-14T13:54:12.556Z,5
2026-08-14T13:54:12.623Z,5
2026-08-14T14:21:16Z,0
2026-08-14T14:21:20.049Z,0
2026-08-14T14:21:20.131Z,0
2026-08-14T14:39:45Z,5
2026-08-14T14:39:49.052Z,5
2026-08-14T14:39:49.135Z,5
2026-08-14T15:00:00Z,0
2026-08-14T15:00:02.092Z,0
2026-08-14T15:00:02.16Z,0
2026-08-14T16:00:00Z,2
2026-08-14T16:00:01.709Z,2
2026-08-14T16:00:01.796Z,2
2026-08-14T18:00:00Z,0
2026-08-14T18:00:01.811Z,0
2026-08-14T18:00:01.885Z,0
2026-08-14T22:00:00Z,5
2026-08-14T22:00:13.034Z,5
2026-08-14T22:00:13.085Z,5
2026-08-15T00:00:00Z,0
2026-08-15T00:00:14.763Z,0
2026-08-15T00:00:14.797Z,0
2026-08-15T01:00:00Z,2
2026-08-15T01:00:11.277Z,2
2026-08-15T01:00:11.308Z,2
2026-08-15T03:00:00Z,0
2026-08-15T03:00:02.466Z,0
2026-08-15T03:00:02.538Z,0
2026-08-15T04:00:00Z,8
2026-08-15T04:00:02.489Z,8
2026-08-15T04:00:02.594Z,8
2026-08-15T06:00:00Z,0
2026-08-15T06:00:02.723Z,0
2026-08-15T06:00:02.791Z,0
2026-08-15T07:00:00Z,10
2026-08-15T07:00:16.842Z,10
2026-08-15T07:00:16.875Z,10
2026-08-15T09:00:00Z,0
2026-08-15T09:00:02.714Z,0
2026-08-15T09:00:02.783Z,0
2026-08-15T22:00:00Z,10
2026-08-15T22:00:05.919Z,10
2026-08-15T22:00:05.995Z,10
2026-08-16T00:00:00Z,0
2026-08-16T00:00:03.419Z,0
2026-08-16T00:00:03.492Z,0
2026-08-16T01:00:00Z,10
2026-08-16T01:00:02.406Z,10
2026-08-16T01:00:02.482Z,10
2026-08-16T03:00:00Z,0
2026-08-16T03:00:03.662Z,0
2026-08-16T03:00:03.74Z,0
2026-08-16T07:00:10Z,10
2026-08-16T07:00:12.77Z,10
2026-08-16T07:00:12.823Z,10
2026-08-16T09:00:00Z,0
2026-08-16T09:00:02.89Z,0
2026-08-16T09:00:02.976Z,0
2026-08-16T10:00:00Z,10
2026-08-16T10:00:13.747Z,10
2026-08-16T10:00:13.785Z,10
2026-08-16T12:00:00Z,0
2026-08-16T12:00:03.303Z,0
2026-08-16T12:00:03.379Z,0
2026-08-16T13:00:00Z,10
2026-08-16T13:00:01.663Z,10
2026-08-16T13:00:01.745Z,10
2026-08-16T15:00:00Z,0
2026-08-16T15:00:02.185Z,0
2026-08-16T15:00:02.274Z,0
2026-08-16T19:00:00Z,10
2026-08-16T19:00:14.133Z,10
2026-08-16T19:00:14.164Z,10
2026-08-16T21:00:00Z,0
2026-08-16T21:00:14.221Z,0
2026-08-16T21:00:14.259Z,0
2026-08-16T22:00:00Z,10
2026-08-16T22:00:12.751Z,10
2026-08-16T22:00:12.819Z,10
2026-08-17T00:00:00Z,0
2026-08-17T00:00:03.598Z,0
2026-08-17T00:00:03.664Z,0
2026-08-17T04:00:00Z,10
2026-08-17T04:00:01.549Z,10
2026-08-17T04:00:01.615Z,10
2026-08-17T06:00:00Z,0
2026-08-17T06:00:03.38Z,0
2026-08-17T06:00:03.458Z,0
2026-08-17T07:00:00Z,10
2026-08-17T07:00:13.411Z,10
2026-08-17T07:00:13.479Z,10
2026-08-17T09:00:00Z,0
2026-08-17T09:00:03.558Z,0
2026-08-17T09:00:03.636Z,0
2026-08-17T10:00:00Z,10
2026-08-17T10:00:01.457Z,10
2026-08-17T10:00:01.538Z,10
2026-08-17T12:00:00Z,0
2026-08-17T12:00:13.81Z,0
2026-08-17T12:00:13.844Z,0
2026-08-17T19:00:00Z,10
2026-08-17T19:00:01.902Z,10
2026-08-17T19:00:01.993Z,10
2026-08-17T21:00:00Z,0
2026-08-17T21:00:12.941Z,0
2026-08-17T21:00:12.972Z,0
2026-08-18T07:00:00Z,10
2026-08-18T07:00:12.534Z,10
2026-08-18T07:00:12.574Z,10
2026-08-18T09:00:00Z,0
2026-08-18T09:00:11.311Z,0
2026-08-18T09:00:11.382Z,0
2026-08-18T10:00:00Z,10
2026-08-18T10:00:02.426Z,10
2026-08-18T10:00:02.503Z,10
2026-08-18T12:00:00Z,0
2026-08-18T12:00:01.702Z,0
2026-08-18T12:00:01.799Z,0
2026-08-18T16:00:00Z,10
2026-08-18T16:00:09.836Z,10
2026-08-18T16:00:09.866Z,10
2026-08-18T18:00:00Z,0
2026-08-18T18:00:03.337Z,0
2026-08-18T18:00:03.404Z,0
2026-08-19T01:00:00Z,10
2026-08-19T01:00:01.65Z,10
2026-08-19T01:00:01.742Z,10
2026-08-19T03:00:00Z,0
2026-08-19T03:00:03.304Z,0
2026-08-19T03:00:03.39Z,0
2026-08-19T10:00:00Z,10
2026-08-19T10:00:14.06Z,10
2026-08-19T10:00:14.089Z,10
2026-08-19T12:00:00Z,0
2026-08-19T12:00:02.908Z,0
2026-08-19T12:00:03.004Z,0
2026-08-19T22:00:00Z,8
2026-08-19T22:00:12.659Z,8
2026-08-19T22:00:12.69Z,8
2026-08-20T00:00:00Z,0
2026-08-20T00:00:03.926Z,0
2026-08-20T00:00:04.76Z,0
2026-08-20T01:00:00Z,4
2026-08-20T01:00:02.48Z,4
2026-08-20T01:00:02.666Z,4
2026-08-20T03:00:00Z,0
2026-08-20T03:00:14.367Z,0
2026-08-20T03:00:14.482Z,0
2026-08-20T07:00:00Z,8
2026-08-20T07:00:16.551Z,8
2026-08-20T07:00:16.59Z,8
2026-08-20T09:00:00Z,0
2026-08-20T09:00:15.491Z,0
2026-08-20T09:00:15.527Z,0
2026-08-20T10:17:12Z,10
2026-08-20T10:17:18.694Z,10
2026-08-20T10:17:18.804Z,10
2026-08-20T12:00:00Z,0
2026-08-20T12:00:13.042Z,0
2026-08-20T12:00:13.147Z,0
2026-08-20T16:00:00Z,2
2026-08-20T16:00:02.113Z,2
2026-08-20T16:00:02.38Z,2
2026-08-20T18:00:00Z,0
2026-08-20T18:00:02.452Z,0
2026-08-20T18:00:02.589Z,0
2026-08-20T19:00:10Z,6
2026-08-20T19:00:14.555Z,6
2026-08-20T19:00:14.596Z,6
2026-08-20T21:00:00Z,0
2026-08-20T21:00:03.821Z,0
2026-08-20T21:00:03.957Z,0
2026-08-20T22:00:00Z,6
2026-08-20T22:00:01.967Z,6
2026-08-20T22:00:02.096Z,6
2026-08-21T00:00:00Z,0
2026-08-21T00:00:05.054Z,0
2026-08-21T00:00:05.178Z,0
2026-08-21T01:00:00Z,2
2026-08-21T01:00:11.217Z,2
2026-08-21T01:00:11.679Z,2
2026-08-21T03:00:00Z,0
2026-08-21T03:00:03.542Z,0
2026-08-21T03:00:03.652Z,0
2026-08-21T04:00:00Z,2
2026-08-21T04:00:03.895Z,2
2026-08-21T04:00:04.055Z,2
2026-08-21T06:00:00Z,0
2026-08-21T06:00:14.473Z,0
2026-08-21T06:00:14.504Z,0
2026-08-21T07:00:00Z,10
2026-08-21T07:00:15.79Z,10
2026-08-21T07:00:16Z,10
2026-08-21T09:00:00Z,0
2026-08-21T09:00:03.585Z,0
2026-08-21T09:00:03.706Z,0
2026-08-21T10:00:00Z,8
2026-08-21T10:00:02.365Z,8
2026-08-21T10:00:02.481Z,8
2026-08-21T12:00:00Z,0
2026-08-21T12:00:14.345Z,0
2026-08-21T12:00:14.386Z,0
2026-08-21T16:00:00Z,4
2026-08-21T16:00:01.688Z,4
2026-08-21T16:00:01.802Z,4
2026-08-21T18:00:00Z,0
2026-08-21T18:00:11.52Z,0
2026-08-21T18:00:11.555Z,0
2026-08-21T19:00:00Z,6
2026-08-21T19:00:14.509Z,6
2026-08-21T19:00:14.556Z,6
2026-08-21T21:00:00Z,0
2026-08-21T21:00:05.254Z,0
2026-08-21T21:00:05.357Z,0
2026-08-21T22:00:00Z,8
2026-08-21T22:00:04.066Z,8
2026-08-21T22:00:04.209Z,8
2026-08-22T00:00:00Z,0
2026-08-22T00:00:03.686Z,0
2026-08-22T00:00:03.787Z,0
2026-08-22T01:00:00Z,4
2026-08-22T01:00:13.755Z,4
2026-08-22T01:00:13.81Z,4
2026-08-22T03:00:00Z,0
2026-08-22T03:00:13.643Z,0
2026-08-22T03:00:13.702Z,0
2026-08-22T07:00:00Z,10
2026-08-22T07:00:03.678Z,10
2026-08-22T07:00:03.783Z,10
2026-08-22T09:00:00Z,0
2026-08-22T09:00:04.651Z,0
2026-08-22T09:00:04.785Z,0
2026-08-22T10:00:00Z,10
2026-08-22T10:00:10.048Z,10
2026-08-22T10:00:10.085Z,10
2026-08-22T12:00:00Z,0
2026-08-22T12:00:13.603Z,0
2026-08-22T12:00:13.634Z,0
2026-08-22T13:00:00Z,2
2026-08-22T13:00:11.931Z,2
2026-08-22T13:00:11.969Z,2
2026-08-22T15:00:00Z,0
2026-08-22T15:00:03.242Z,0
2026-08-22T15:00:03.345Z,0
2026-08-22T16:00:00Z,2
2026-08-22T16:00:02.387Z,2
2026-08-22T16:00:02.545Z,2
2026-08-22T18:00:00Z,0
2026-08-22T18:00:03.721Z,0
2026-08-22T18:00:03.872Z,0
2026-08-22T19:00:00Z,6
2026-08-22T19:00:01.806Z,6
2026-08-22T19:00:01.947Z,6
2026-08-22T21:00:00Z,0
2026-08-22T21:00:04.529Z,0
2026-08-22T21:00:04.642Z,0
2026-08-23T01:00:10Z,4
2026-08-23T01:00:13.25Z,4
2026-08-23T01:00:13.292Z,4
2026-08-23T03:00:00Z,0
2026-08-23T03:00:03.539Z,0
2026-08-23T03:00:03.644Z,0
2026-08-23T04:00:00Z,2
2026-08-23T04:00:02.463Z,2
2026-08-23T04:00:02.573Z,2
2026-08-23T06:00:00Z,0
2026-08-23T06:00:04.193Z,0
2026-08-23T06:00:04.327Z,0
2026-08-23T07:00:10Z,10
2026-08-23T07:00:12.996Z,10
2026-08-23T07:00:13.036Z,10
2026-08-23T09:00:00Z,0
2026-08-23T09:00:05.098Z,0
2026-08-23T09:00:05.222Z,0
2026-08-23T10:00:00Z,8
2026-08-23T10:00:01.975Z,8
2026-08-23T10:00:02.088Z,8
2026-08-23T12:00:00Z,0
2026-08-23T12:00:03.214Z,0
2026-08-23T12:00:03.321Z,0
2026-08-23T16:00:00Z,4
2026-08-23T16:00:02.664Z,4
2026-08-23T16:00:02.788Z,4
2026-08-23T18:00:00Z,0
2026-08-23T18:00:05.373Z,0
2026-08-23T18:00:05.48Z,0
2026-08-23T19:00:00Z,8
2026-08-23T19:00:01.934Z,8
2026-08-23T19:00:02.062Z,8
2026-08-23T21:00:00Z,0
2026-08-23T21:00:03.041Z,0
2026-08-23T21:00:03.157Z,0
2026-08-23T22:00:00Z,8
2026-08-23T22:00:01.78Z,8
2026-08-23T22:00:01.892Z,8
2026-08-24T00:00:00Z,0
2026-08-24T00:00:12.421Z,0
2026-08-24T00:00:12.461Z,0
2026-08-24T01:00:00Z,4
2026-08-24T01:00:02.149Z,4
2026-08-24T01:00:02.283Z,4
2026-08-24T03:00:00Z,0
2026-08-24T03:00:03.735Z,0
2026-08-24T03:00:03.859Z,0
2026-08-24T07:00:00Z,8
2026-08-24T07:00:07.895Z,8
2026-08-24T07:00:07.947Z,8
2026-08-24T09:00:00Z,0
2026-08-24T09:00:14.175Z,0
2026-08-24T09:00:14.214Z,0
2026-08-24T10:00:00Z,10
2026-08-24T10:00:11.771Z,10
2026-08-24T10:00:11.871Z,10
2026-08-24T12:00:00Z,0
2026-08-24T12:00:09.601Z,0
2026-08-24T12:00:09.633Z,0
2026-08-24T16:00:10Z,4
2026-08-24T16:00:13.435Z,4
2026-08-24T16:00:13.477Z,4
2026-08-24T18:00:00Z,0
2026-08-24T18:00:03.075Z,0
