_time,_value
2026-08-06T06:00:00Z,1
2026-08-06T06:00:00.332Z,1
2026-08-06T10:00:00Z,0
2026-08-06T10:00:00.657Z,0
2026-08-15T22:00:00Z,1
2026-08-15T22:00:17.124Z,1
2026-08-16T00:00:00Z,0
2026-08-16T00:00:05.608Z,0
2026-08-16T01:00:00Z,1
2026-08-16T01:00:03.71Z,1
2026-08-16T03:00:00Z,0
2026-08-16T03:00:04.144Z,0
2026-08-16T04:00:00Z,1
2026-08-16T04:00:12.776Z,1
2026-08-16T06:00:00Z,0
2026-08-16T06:00:01.11Z,0
2026-08-16T13:00:00Z,1
2026-08-16T13:00:14.179Z,1
2026-08-16T15:00:00Z,0
2026-08-16T15:00:14.048Z,0
2026-08-17T01:00:00Z,1
2026-08-17T01:00:13.32Z,1
2026-08-17T03:00:00Z,0
2026-08-17T03:00:01.709Z,0
2026-08-17T04:00:00Z,1
2026-08-17T04:00:16.207Z,1
2026-08-17T06:00:00Z,0
2026-08-17T06:00:04.548Z,0
2026-08-17T10:00:00Z,1
2026-08-17T10:00:03.319Z,1
2026-08-17T12:00:00Z,0
2026-08-17T12:00:13.892Z,0
2026-08-17T16:00:10Z,1
2026-08-17T16:00:15.695Z,1
2026-08-17T18:00:00Z,0
2026-08-17T18:00:00.74Z,0
2026-08-18T01:00:00Z,1
2026-08-18T01:00:00.353Z,1
2026-08-18T03:00:00Z,0
2026-08-18T03:00:01.359Z,0
2026-08-18T10:00:00Z,1
2026-08-18T10:00:15.349Z,1
2026-08-18T12:00:00Z,0
2026-08-18T12:00:04.208Z,0
2026-08-18T13:00:00Z,1
2026-08-18T13:00:13.13Z,1
2026-08-18T15:00:00Z,0
2026-08-18T15:00:01.177Z,0
2026-08-18T16:00:00Z,1
2026-08-18T16:00:10.221Z,1
2026-08-18T18:00:00Z,0
2026-08-18T18:00:02.864Z,0
2026-08-18T19:00:00Z,1
2026-08-18T19:00:01.779Z,1
2026-08-18T20:59:15Z,1
2026-08-18T21:00:00Z,0
2026-08-18T21:00:16.067Z,1
2026-08-18T21:01:00.793Z,0
2026-08-19T01:00:00Z,1
2026-08-19T01:00:12.328Z,1
2026-08-19T03:00:00Z,0
2026-08-19T03:00:05.224Z,0
2026-08-19T14:01:50Z,1
2026-08-19T14:01:53.14Z,1
2026-08-19T15:00:00Z,0
2026-08-19T15:00:00.71Z,0
2026-08-19T16:00:00Z,1
2026-08-19T16:00:03.974Z,1
2026-08-19T18:00:00Z,0
2026-08-19T18:00:01.832Z,0
2026-08-19T22:00:00Z,1
2026-08-19T22:00:13.605Z,1
2026-08-20T00:00:00Z,0
2026-08-20T00:00:05.84Z,0
2026-08-20T07:00:00Z,1
2026-08-20T07:00:16.705Z,1
2026-08-20T09:00:00Z,0
2026-08-20T09:00:15.776Z,0
2026-08-20T10:17:12Z,1
2026-08-20T10:17:18.35Z,1
2026-08-20T12:00:00Z,0
2026-08-20T12:00:12.389Z,0
2026-08-20T19:00:10Z,1
2026-08-20T19:00:15.034Z,1
2026-08-20T21:00:00Z,0
2026-08-20T21:00:05.519Z,0
2026-08-20T22:00:00Z,1
2026-08-20T22:00:03.639Z,1
2026-08-21T00:00:00Z,0
2026-08-21T00:00:04.583Z,0
2026-08-21T07:00:00Z,1
2026-08-21T07:00:16.283Z,1
2026-08-21T09:00:00Z,0
2026-08-21T09:00:17.091Z,0
2026-08-21T10:00:00Z,1
2026-08-21T10:00:05.134Z,1
2026-08-21T12:00:00Z,0
2026-08-21T12:00:14.602Z,0
2026-08-21T19:00:00Z,1
2026-08-21T19:00:14.42Z,1
2026-08-21T21:00:00Z,0
2026-08-21T21:00:04.719Z,0
2026-08-22T01:00:00Z,1
2026-08-22T01:00:15.141Z,1
2026-08-22T03:00:00Z,0
2026-08-22T03:00:13.866Z,0
2026-08-22T04:00:00Z,1
2026-08-22T04:00:01.271Z,1
2026-08-22T06:00:00Z,0
2026-08-22T06:00:02.455Z,0
2026-08-22T13:00:00Z,1
2026-08-22T13:00:12.569Z,1
2026-08-22T15:00:00Z,0
2026-08-22T15:00:05.162Z,0
2026-08-22T16:00:00Z,1
2026-08-22T16:00:14.546Z,1
2026-08-22T18:00:00Z,0
2026-08-22T18:00:14.997Z,0
2026-08-23T01:00:10Z,1
2026-08-23T01:00:14.88Z,1
2026-08-23T03:00:00Z,0
2026-08-23T03:00:11.651Z,0
2026-08-23T04:00:00Z,1
2026-08-23T04:00:04.153Z,1
2026-08-23T06:00:00Z,0
2026-08-23T06:00:03.7Z,0
2026-08-23T13:00:00Z,1
2026-08-23T13:00:10.436Z,1
2026-08-23T15:00:00Z,0
2026-08-23T15:00:01.982Z,0
2026-08-23T16:00:00Z,1
2026-08-23T16:00:05.032Z,1
2026-08-23T18:00:00Z,0
2026-08-23T18:00:04.509Z,0
2026-08-24T01:00:00Z,1
2026-08-24T01:00:05.663Z,1
2026-08-24T03:00:00Z,0
2026-08-24T03:00:04.704Z,0
2026-08-24T04:00:00Z,1
2026-08-24T04:00:08.496Z,1
2026-08-24T06:00:00Z,0
2026-08-24T06:00:01.241Z,0
2026-08-24T13:00:00Z,1
2026-08-24T13:00:01.977Z,1
2026-08-24T15:00:00Z,0
2026-08-24T15:00:01.556Z,0
2026-08-24T16:00:10Z,1
2026-08-24T16:00:14.545Z,1
2026-08-24T18:00:00Z,0
2026-08-24T18:00:04.492Z,0
2026-08-25T01:00:00Z,1
2026-08-25T01:00:14.514Z,1
2026-08-25T03:00:00Z,0
2026-08-25T03:00:06.12Z,0
2026-08-25T04:00:10Z,1
2026-08-25T04:00:14.993Z,1
2026-08-25T06:00:00Z,0
2026-08-25T06:00:03.746Z,0
2026-08-25T13:00:00Z,1
2026-08-25T13:00:08.758Z,1
2026-08-25T15:00:00Z,0
2026-08-25T15:00:02.97Z,0
2026-08-25T16:00:00Z,1
2026-08-25T16:00:13.157Z,1
2026-08-25T18:00:00Z,0
2026-08-25T18:00:04.846Z,0
2026-08-25T22:00:10Z,1
2026-08-25T22:00:16.581Z,1
2026-08-26T00:00:00Z,0
2026-08-26T00:00:05.356Z,0
2026-08-26T07:00:00Z,1
2026-08-26T07:00:13.045Z,1
2026-08-26T09:00:00Z,0
2026-08-26T09:00:04.71Z,0
2026-08-26T10:00:10Z,1
2026-08-26T10:00:15.816Z,1
2026-08-26T12:00:00Z,0
2026-08-26T12:00:02.892Z,0
2026-08-26T19:00:00Z,1
2026-08-26T19:00:12.965Z,1
2026-08-26T21:00:00Z,0
2026-08-26T21:00:15.992Z,0
2026-08-26T22:00:00Z,1
2026-08-26T22:00:05.864Z,1
2026-08-27T00:00:00Z,0
2026-08-27T00:00:03.601Z,0
2026-08-27T07:00:00Z,1
2026-08-27T07:00:13.19Z,1
2026-08-27T09:00:00Z,0
2026-08-27T09:00:04.504Z,0
2026-08-27T19:00:10Z,1
2026-08-27T19:00:14.431Z,1
