_time,_value
2026-08-07T16:00:00Z,10
2026-08-07T16:00:15.017Z,10
2026-08-07T16:00:15.052Z,10
2026-08-07T16:14:09Z,0
2026-08-07T16:14:12.128Z,0
2026-08-07T16:14:12.188Z,0
2026-08-07T16:29:27Z,10
2026-08-07T16:29:31.182Z,10
2026-08-07T16:29:31.24Z,10
2026-08-07T20:00:00Z,0
2026-08-07T20:00:03.551Z,0
2026-08-07T20:00:03.618Z,0
2026-08-13T16:00:00Z,5
2026-08-13T16:00:12.192Z,5
2026-08-13T16:00:12.233Z,5
2026-08-13T18:00:00Z,0
2026-08-13T18:00:12.236Z,0
2026-08-13T18:00:12.281Z,0
2026-08-13T19:00:00Z,8
2026-08-13T19:00:03.118Z,8
2026-08-13T19:00:03.179Z,8
2026-08-13T21:00:00Z,0
2026-08-13T21:00:04.484Z,0
2026-08-13T21:00:04.543Z,0
2026-08-13T22:00:00Z,2
2026-08-13T22:00:03.717Z,2
2026-08-13T22:00:03.79Z,2
2026-08-14T00:00:00Z,0
2026-08-14T00:00:11.468Z,0
2026-08-14T00:00:11.509Z,0
2026-08-14T01:00:00Z,10
2026-08-14T01:00:13.117Z,10
2026-08-14T01:00:13.15Z,10
2026-08-14T03:00:00Z,0
2026-08-14T03:00:12.865Z,0
2026-08-14T03:00:12.899Z,0
2026-08-14T07:00:00Z,10
2026-08-14T07:00:03.574Z,10
2026-08-14T07:00:03.642Z,10
2026-08-14T09:00:00Z,0
2026-08-14T09:00:03.262Z,0
2026-08-14T09:00:03.322Z,0
2026-08-14T10:00:00Z,8
2026-08-14T10:00:12.304Z,8
2026-08-14T10:00:12.336Z,8
2026-08-14T10:40:55Z,0
2026-08-14T10:41:00.128Z,0
2026-08-14T10:41:00.21Z,0
2026-08-14T10:55:07Z,8
2026-08-14T10:55:16.645Z,8
2026-08-14T10:55:16.716Z,8
2026-08-14T11:24:08Z,0
2026-08-14T11:24:12.971Z,0
2026-08-14T11:24:13.041Z,0
2026-08-14T11:37:32Z,8
2026-08-14T11:37:37.34Z,8
2026-08-14T11:37:37.407Z,8
2026-08-14T12:00:00Z,0
2026-08-14T12:00:03.512Z,0
2026-08-14T12:00:03.585Z,0
2026-08-14T13:11:00Z,5
2026-08-14T13:11:04.44Z,5
2026-08-14T13:11:04.511Z,5
2026-08-14T13:36:37Z,0
2026-08-14T13:36:41.608Z,0
2026-08-14T13:36:41.677Z,0
2026-08-14T13:54:07Z,5
2026-08-14T13:54:13.015Z,5
2026-08-14T13:54:13.086Z,5
2026-08-14T14:21:16Z,0
2026-08-14T14:21:21.055Z,0
2026-08-14T14:21:21.128Z,0
2026-08-14T14:39:45Z,5
2026-08-14T14:39:49.507Z,5
2026-08-14T14:39:49.576Z,5
2026-08-14T15:00:00Z,0
2026-08-14T15:00:03.146Z,0
2026-08-14T15:00:03.229Z,0
2026-08-14T16:00:00Z,2
2026-08-14T16:00:04.01Z,2
2026-08-14T16:00:04.082Z,2
2026-08-14T18:00:00Z,0
2026-08-14T18:00:03.361Z,0
2026-08-14T18:00:03.437Z,0
2026-08-14T22:00:00Z,5
2026-08-14T22:00:13.715Z,5
2026-08-14T22:00:13.76Z,5
2026-08-15T00:00:00Z,0
2026-08-15T00:00:14.999Z,0
2026-08-15T00:00:15.034Z,0
2026-08-15T01:00:00Z,2
2026-08-15T01:00:11.627Z,2
2026-08-15T01:00:11.667Z,2
2026-08-15T03:00:00Z,0
2026-08-15T03:00:03.568Z,0
2026-08-15T03:00:03.637Z,0
2026-08-15T04:00:00Z,8
2026-08-15T04:00:03.58Z,8
2026-08-15T04:00:03.652Z,8
2026-08-15T06:00:00Z,0
2026-08-15T06:00:03.24Z,0
2026-08-15T06:00:03.322Z,0
2026-08-15T07:00:00Z,10
2026-08-15T07:00:17.16Z,10
2026-08-15T07:00:17.19Z,10
2026-08-15T09:00:00Z,0
2026-08-15T09:00:03.256Z,0
2026-08-15T09:00:03.362Z,0
2026-08-15T22:00:00Z,10
2026-08-15T22:00:16.964Z,10
2026-08-15T22:00:17.007Z,10
2026-08-16T00:00:00Z,0
2026-08-16T00:00:06.034Z,0
2026-08-16T00:00:06.108Z,0
2026-08-16T01:00:00Z,10
2026-08-16T01:00:15.773Z,10
2026-08-16T01:00:15.809Z,10
2026-08-16T03:00:00Z,0
2026-08-16T03:00:05.147Z,0
2026-08-16T03:00:05.217Z,0
2026-08-16T07:00:10Z,10
2026-08-16T07:00:15.044Z,10
2026-08-16T07:00:15.116Z,10
2026-08-16T09:00:00Z,0
2026-08-16T09:00:05.349Z,0
2026-08-16T09:00:05.424Z,0
2026-08-16T10:00:00Z,10
2026-08-16T10:00:14.4Z,10
2026-08-16T10:00:14.432Z,10
2026-08-16T12:00:00Z,0
2026-08-16T12:00:05.1Z,0
2026-08-16T12:00:05.17Z,0
2026-08-16T13:00:00Z,10
2026-08-16T13:00:14.641Z,10
2026-08-16T13:00:14.671Z,10
2026-08-16T15:00:00Z,0
2026-08-16T15:00:14.691Z,0
2026-08-16T15:00:14.737Z,0
2026-08-16T19:00:00Z,10
2026-08-16T19:00:14.594Z,10
2026-08-16T19:00:14.625Z,10
2026-08-16T21:00:00Z,0
2026-08-16T21:00:15.078Z,0
2026-08-16T21:00:15.147Z,0
2026-08-16T22:00:00Z,10
2026-08-16T22:00:13.678Z,10
2026-08-16T22:00:13.751Z,10
2026-08-17T00:00:00Z,0
2026-08-17T00:00:04.895Z,0
2026-08-17T00:00:04.998Z,0
2026-08-17T04:00:00Z,10
2026-08-17T04:00:16.384Z,10
2026-08-17T04:00:16.417Z,10
2026-08-17T06:00:00Z,0
2026-08-17T06:00:04.891Z,0
2026-08-17T06:00:04.964Z,0
2026-08-17T07:00:00Z,10
2026-08-17T07:00:13.764Z,10
2026-08-17T07:00:13.795Z,10
2026-08-17T09:00:00Z,0
2026-08-17T09:00:04.094Z,0
2026-08-17T09:00:04.161Z,0
2026-08-17T10:00:00Z,10
2026-08-17T10:00:04.098Z,10
2026-08-17T10:00:04.172Z,10
2026-08-17T12:00:00Z,0
2026-08-17T12:00:14.211Z,0
2026-08-17T12:00:14.253Z,0
2026-08-17T19:00:00Z,10
2026-08-17T19:00:04.06Z,10
2026-08-17T19:00:04.13Z,10
2026-08-17T21:00:00Z,0
2026-08-17T21:00:13.264Z,0
2026-08-17T21:00:13.294Z,0
2026-08-18T07:00:00Z,10
2026-08-18T07:00:13.754Z,10
2026-08-18T07:00:13.823Z,10
2026-08-18T09:00:00Z,0
2026-08-18T09:00:12.822Z,0
2026-08-18T09:00:12.892Z,0
2026-08-18T10:00:00Z,10
2026-08-18T10:00:15.225Z,10
2026-08-18T10:00:15.255Z,10
2026-08-18T12:00:00Z,0
2026-08-18T12:00:04.87Z,0
2026-08-18T12:00:04.947Z,0
2026-08-18T16:00:00Z,10
2026-08-18T16:00:10.713Z,10
2026-08-18T16:00:10.785Z,10
2026-08-18T18:00:00Z,0
2026-08-18T18:00:04.796Z,0
2026-08-18T18:00:04.879Z,0
2026-08-19T01:00:00Z,10
2026-08-19T01:00:12.486Z,10
2026-08-19T01:00:12.521Z,10
2026-08-19T03:00:00Z,0
2026-08-19T03:00:14.668Z,0
2026-08-19T03:00:14.701Z,0
2026-08-19T10:00:00Z,10
2026-08-19T10:00:14.884Z,10
2026-08-19T10:00:14.934Z,10
2026-08-19T12:00:00Z,0
2026-08-19T12:00:04.827Z,0
2026-08-19T12:00:04.9Z,0
2026-08-19T22:00:00Z,8
2026-08-19T22:00:13.843Z,8
2026-08-19T22:00:13.923Z,8
2026-08-20T00:00:00Z,0
2026-08-20T00:00:06.39Z,0
2026-08-20T00:00:06.55Z,0
2026-08-20T01:00:00Z,4
