_time,_value
2026-08-03T08:59:09Z,0
2026-08-03T08:59:11Z,1
2026-08-03T08:59:11.145Z,0
2026-08-03T08:59:11.187Z,0
2026-08-03T08:59:13Z,2
2026-08-03T08:59:13.254Z,1
2026-08-03T08:59:13.462Z,2
2026-08-03T08:59:14Z,3
2026-08-03T08:59:15.095Z,3
2026-08-03T08:59:16Z,4
2026-08-03T08:59:18Z,5
2026-08-03T08:59:18.485Z,4
2026-08-03T08:59:18.955Z,5
2026-08-03T08:59:20Z,6
2026-08-03T08:59:20.431Z,6
2026-08-03T08:59:22Z,7
2026-08-03T08:59:22.227Z,7
2026-08-03T08:59:23Z,8
2026-08-03T08:59:24.029Z,8
2026-08-03T08:59:25Z,9
2026-08-03T08:59:26.196Z,9
2026-08-03T08:59:27Z,10
2026-08-03T08:59:27.634Z,10
2026-08-03T08:59:29Z,11
2026-08-03T08:59:29.879Z,11
2026-08-03T08:59:31Z,12
2026-08-03T08:59:31.326Z,12
2026-08-03T08:59:33Z,13
2026-08-03T08:59:34Z,14
2026-08-03T08:59:34.053Z,13
2026-08-03T08:59:34.927Z,14
2026-08-03T08:59:36Z,15
2026-08-03T08:59:36.714Z,15
2026-08-03T08:59:38Z,16
2026-08-03T08:59:38.522Z,16
2026-08-03T08:59:40Z,17
2026-08-03T08:59:40.639Z,17
2026-08-03T08:59:42Z,18
2026-08-03T08:59:42.123Z,18
2026-08-03T08:59:43Z,19
2026-08-03T08:59:43.938Z,19
2026-08-03T08:59:45Z,20
2026-08-03T08:59:45.978Z,20
2026-08-03T08:59:47Z,21
2026-08-03T08:59:48.725Z,21
2026-08-03T08:59:49Z,22
2026-08-03T08:59:49.327Z,22
2026-08-03T08:59:51Z,23
2026-08-03T08:59:51.125Z,23
2026-08-03T08:59:52Z,24
2026-08-03T08:59:52.931Z,24
2026-08-03T08:59:54Z,25
2026-08-03T08:59:54.73Z,25
2026-08-03T08:59:56Z,26
2026-08-03T08:59:56.558Z,26
2026-08-03T08:59:58Z,27
2026-08-03T08:59:58.337Z,27
2026-08-03T09:00:00Z,28
2026-08-03T09:00:00.13Z,28
2026-08-03T09:00:01Z,29
2026-08-03T09:00:03Z,30
2026-08-03T09:00:05Z,31
2026-08-03T09:00:07Z,32
2026-08-03T09:00:09Z,33
2026-08-03T09:00:10Z,34
2026-08-03T09:00:11.241Z,29
2026-08-03T09:00:11.624Z,30
2026-08-03T09:00:11.949Z,31
2026-08-03T09:00:12Z,35
2026-08-03T09:00:12.389Z,32
2026-08-03T09:00:12.619Z,33
2026-08-03T09:00:13.353Z,34
2026-08-03T09:00:13.926Z,35
2026-08-03T09:00:14Z,36
2026-08-03T09:00:15.032Z,36
2026-08-03T09:00:16Z,37
2026-08-03T09:00:16.347Z,37
2026-08-03T09:00:18Z,38
2026-08-03T09:00:19Z,39
2026-08-03T09:00:19.016Z,38
2026-08-03T09:00:19.955Z,39
2026-08-03T09:00:21Z,40
2026-08-03T09:00:21.746Z,40
2026-08-03T09:00:23Z,41
2026-08-03T09:00:24.917Z,41
2026-08-03T09:00:25Z,42
2026-08-03T09:00:26.396Z,42
2026-08-03T09:00:27Z,43
2026-08-03T09:00:27.285Z,43
2026-08-03T09:00:28Z,44
2026-08-03T09:00:29.08Z,44
2026-08-03T09:00:30Z,45
2026-08-03T09:00:31.351Z,45
2026-08-03T09:00:32Z,46
2026-08-03T09:00:34Z,47
2026-08-03T09:00:34.11Z,46
2026-08-03T09:00:34.676Z,47
2026-08-03T09:00:36Z,48
2026-08-03T09:00:36.251Z,48
2026-08-03T09:00:37Z,49
2026-08-03T09:00:38.108Z,49
2026-08-03T09:00:39Z,50
2026-08-03T09:00:40.065Z,50
2026-08-03T09:00:41Z,51
2026-08-03T09:00:41.659Z,51
2026-08-03T09:00:43Z,52
2026-08-03T09:00:43.472Z,52
2026-08-03T09:00:45Z,53
2026-08-03T09:00:45.264Z,53
2026-08-03T09:00:46Z,54
2026-08-03T09:00:48Z,55
2026-08-03T09:00:48.929Z,54
2026-08-03T09:00:49.217Z,55
2026-08-03T09:00:50Z,56
2026-08-03T09:00:51.423Z,56
2026-08-03T09:00:52Z,57
2026-08-03T09:00:52.528Z,57
2026-08-03T09:00:54Z,58
2026-08-03T09:00:54.254Z,58
2026-08-03T09:00:55Z,59
2026-08-03T09:00:56.301Z,59
2026-08-03T09:00:57Z,60
2026-08-03T09:00:57.858Z,60
2026-08-03T09:00:59Z,61
2026-08-03T09:00:59.667Z,61
2026-08-03T09:01:01Z,62
2026-08-03T09:01:03Z,63
2026-08-03T09:01:03.577Z,62
2026-08-03T09:01:04Z,64
2026-08-03T09:01:06Z,65
2026-08-03T09:01:06.175Z,63
2026-08-03T09:01:06.457Z,64
2026-08-03T09:01:06.958Z,65
2026-08-03T09:01:08Z,66
2026-08-03T09:01:08.671Z,66
2026-08-03T09:01:10Z,67
2026-08-03T09:01:10.543Z,67
2026-08-03T09:01:12Z,68
2026-08-03T09:01:12.279Z,68
2026-08-03T09:01:13Z,69
2026-08-03T09:01:14.081Z,69
2026-08-03T09:01:15Z,70
2026-08-03T09:01:16.309Z,70
2026-08-03T09:01:17Z,71
2026-08-03T09:01:19Z,72
2026-08-03T09:01:19.613Z,71
2026-08-03T09:01:19.869Z,72
2026-08-03T09:01:21Z,73
2026-08-03T09:01:21.28Z,73
2026-08-03T09:01:23Z,74
2026-08-03T09:01:23.087Z,74
2026-08-03T09:01:24Z,75
2026-08-03T09:01:24.877Z,75
2026-08-03T09:01:26Z,76
2026-08-03T09:01:26.686Z,76
2026-08-03T09:01:28Z,77
2026-08-03T09:01:28.557Z,77
2026-08-03T09:01:30Z,78
2026-08-03T09:01:30.291Z,78
2026-08-03T09:01:32Z,79
2026-08-03T09:01:33Z,80
2026-08-03T09:01:34.37Z,79
2026-08-03T09:01:34.773Z,80
2026-08-03T09:01:35Z,81
2026-08-03T09:01:35.718Z,81
2026-08-03T09:01:37Z,82
2026-08-03T09:01:37.531Z,82
2026-08-03T09:01:39Z,83
2026-08-03T09:01:41Z,84
2026-08-03T09:01:41.551Z,83
2026-08-03T09:01:42Z,85
2026-08-03T09:01:43.077Z,84
2026-08-03T09:01:43.273Z,85
2026-08-03T09:01:44Z,86
2026-08-03T09:01:44.736Z,86
2026-08-03T09:01:46Z,87
2026-08-03T09:01:46.534Z,87
2026-08-03T09:01:48Z,88
2026-08-03T09:01:49.298Z,88
2026-08-03T09:01:50Z,89
2026-08-03T09:01:50.3Z,89
2026-08-03T09:01:51Z,90
2026-08-03T09:01:51.957Z,90
2026-08-03T09:01:53Z,91
2026-08-03T09:01:53.781Z,91
2026-08-03T09:01:55Z,92
2026-08-03T09:01:56.479Z,92
2026-08-03T09:01:57Z,93
2026-08-03T09:01:57.551Z,93
2026-08-03T09:01:59Z,94
2026-08-03T09:01:59.154Z,94
2026-08-03T09:02:00Z,95
2026-08-03T09:02:02Z,96
2026-08-03T09:02:02.579Z,95
2026-08-03T09:02:04Z,97
2026-08-03T09:02:05.003Z,96
2026-08-03T09:02:05.182Z,97
2026-08-03T09:02:06Z,98
2026-08-03T09:02:06.688Z,98
2026-08-03T09:02:08Z,99
2026-08-03T09:02:08.163Z,99
2026-08-03T09:02:09Z,100
2026-08-03T09:02:10.136Z,100
2026-08-03T09:02:10.189Z,100
2026-08-03T09:16:08Z,100
2026-08-03T09:16:08.629Z,100
2026-08-03T09:16:09Z,100
2026-08-03T09:16:10.337Z,100
2026-08-03T09:16:10.394Z,100
2026-08-03T09:16:11Z,99
2026-08-03T09:16:12.645Z,99
2026-08-03T09:16:13Z,98
2026-08-03T09:16:13.433Z,98
2026-08-03T09:16:15Z,97
2026-08-03T09:16:15.246Z,97
2026-08-03T09:16:17Z,96
2026-08-03T09:16:18Z,95
2026-08-03T09:16:19.318Z,96
2026-08-03T09:16:19.759Z,95
2026-08-03T09:16:20Z,94
2026-08-03T09:16:20.651Z,94
2026-08-03T09:16:22Z,93
2026-08-03T09:16:22.467Z,93
2026-08-03T09:16:24Z,92
2026-08-03T09:16:24.261Z,92
2026-08-03T09:16:26Z,91
2026-08-03T09:16:26.147Z,91
2026-08-03T09:16:27Z,90
2026-08-03T09:16:27.877Z,90
2026-08-03T09:16:29Z,89
2026-08-03T09:16:29.676Z,89
2026-08-03T09:16:31Z,88
2026-08-03T09:16:32.375Z,88
2026-08-03T09:16:33Z,87
2026-08-03T09:16:35Z,86
2026-08-03T09:16:35.887Z,87
2026-08-03T09:16:36Z,85
2026-08-03T09:16:36.181Z,86
2026-08-03T09:16:36.915Z,85
2026-08-03T09:16:38Z,84
2026-08-03T09:16:38.716Z,84
2026-08-03T09:16:40Z,83
2026-08-03T09:16:40.513Z,83
2026-08-03T09:16:42Z,82
2026-08-03T09:16:42.327Z,82
2026-08-03T09:16:44Z,81
2026-08-03T09:16:44.13Z,81
2026-08-03T09:16:45Z,80
