_time,_value
2026-08-03T08:59:09Z,0
2026-08-03T08:59:10.51Z,0
2026-08-03T08:59:10.573Z,0
2026-08-03T08:59:11Z,1
2026-08-03T08:59:13Z,2
2026-08-03T08:59:13.212Z,1
2026-08-03T08:59:13.424Z,2
2026-08-03T08:59:14Z,3
2026-08-03T08:59:14.984Z,3
2026-08-03T08:59:16Z,4
2026-08-03T08:59:18Z,5
2026-08-03T08:59:18.453Z,4
2026-08-03T08:59:18.836Z,5
2026-08-03T08:59:20Z,6
2026-08-03T08:59:20.362Z,6
2026-08-03T08:59:22Z,7
2026-08-03T08:59:22.151Z,7
2026-08-03T08:59:23Z,8
2026-08-03T08:59:23.956Z,8
2026-08-03T08:59:25Z,9
2026-08-03T08:59:26.161Z,9
2026-08-03T08:59:27Z,10
2026-08-03T08:59:27.561Z,10
2026-08-03T08:59:29Z,11
2026-08-03T08:59:29.829Z,11
2026-08-03T08:59:31Z,12
2026-08-03T08:59:31.272Z,12
2026-08-03T08:59:33Z,13
2026-08-03T08:59:34Z,14
2026-08-03T08:59:34.02Z,13
2026-08-03T08:59:34.877Z,14
2026-08-03T08:59:36Z,15
2026-08-03T08:59:36.67Z,15
2026-08-03T08:59:38Z,16
2026-08-03T08:59:38.477Z,16
2026-08-03T08:59:40Z,17
2026-08-03T08:59:40.584Z,17
2026-08-03T08:59:42Z,18
2026-08-03T08:59:42.076Z,18
2026-08-03T08:59:43Z,19
2026-08-03T08:59:43.888Z,19
2026-08-03T08:59:45Z,20
2026-08-03T08:59:45.933Z,20
2026-08-03T08:59:47Z,21
2026-08-03T08:59:48.671Z,21
2026-08-03T08:59:49Z,22
2026-08-03T08:59:49.283Z,22
2026-08-03T08:59:51Z,23
2026-08-03T08:59:51.084Z,23
2026-08-03T08:59:52Z,24
2026-08-03T08:59:52.886Z,24
2026-08-03T08:59:54Z,25
2026-08-03T08:59:54.68Z,25
2026-08-03T08:59:56Z,26
2026-08-03T08:59:56.497Z,26
2026-08-03T08:59:58Z,27
2026-08-03T08:59:58.291Z,27
2026-08-03T09:00:00Z,28
2026-08-03T09:00:00.086Z,28
2026-08-03T09:00:01Z,29
2026-08-03T09:00:03Z,30
2026-08-03T09:00:05Z,31
2026-08-03T09:00:07Z,32
2026-08-03T09:00:09Z,33
2026-08-03T09:00:10Z,34
2026-08-03T09:00:11.204Z,29
2026-08-03T09:00:11.592Z,30
2026-08-03T09:00:11.91Z,31
2026-08-03T09:00:12Z,35
2026-08-03T09:00:12.337Z,32
2026-08-03T09:00:12.572Z,33
2026-08-03T09:00:13.318Z,34
2026-08-03T09:00:13.885Z,35
2026-08-03T09:00:14Z,36
2026-08-03T09:00:14.994Z,36
2026-08-03T09:00:16Z,37
2026-08-03T09:00:16.296Z,37
2026-08-03T09:00:18Z,38
2026-08-03T09:00:18.974Z,38
2026-08-03T09:00:19Z,39
2026-08-03T09:00:19.898Z,39
2026-08-03T09:00:21Z,40
2026-08-03T09:00:21.698Z,40
2026-08-03T09:00:23Z,41
2026-08-03T09:00:24.854Z,41
2026-08-03T09:00:25Z,42
2026-08-03T09:00:26.351Z,42
